Time,x (km),y (km),z (km),Dx (km/s),Dy (km/s),Dz (km/s),Distance (km),Vel. (km/s)
2022-017/00:00.000000,-65972013.47294456,122046520.3474091,52444361.94267311,-27.27004316305739,-12.10431912366943,-5.266872299567969,148317466.23428753,30.297025256328364
2022-018/00:00.000000,-68317829.4802822,120981317.550352,51981312.42956965,-27.02998045532046,-12.55240595401913,-5.45158543809483,148343728.7620092,30.29690615291186
2022-019/00:00.000000,-70642556.46847746,119877602.2654375,51502377.18717758,-26.78185885491839,-12.99579538809099,-5.634603182826915,148369488.66004345,30.29698688849802
2022-020/00:00.000000,-72945499.68047152,118735783.6815849,51007704.17767176,-26.52573605820841,-13.43441511594045,-5.815877196390846,148394804.9481203,30.29723767112517
2022-021/00:00.000000,-75225970.69109942,117556276.8002727,50497446.29771579,-26.26167873223964,-13.8681995585294,-5.995355001976866,148419732.39482403,30.297640344262653
2022-022/00:00.000000,-77483287.10402718,116339502.4257948,49971761.00878008,-25.98976213969828,-14.29707699979764,-6.172985128477104,148444321.22329655,30.298182985331582
2022-023/00:00.000000,-79716773.2970835,115085887.590316,49430810.29201602,-25.71006594891988,-14.72097609799045,-6.34871264985206,148468617.80684406,30.29885774556208
2022-024/00:00.000000,-81925760.72629267,113795865.7606881,48874760.6789522,-25.42267428938584,-15.13981843813453,-6.522488929583812,148492665.02501446,30.29965894528223
2022-025/00:00.000000,-84109611.62069675,112469884.942242,48303785.23090982,-25.12904632183034,-15.55308653612462,-6.694140939188387,148516522.49342313,30.301468491784256
2022-026/00:00.000000,-86267744.53330919,111108415.2661502,47718064.79256851,-24.82653527839011,-15.96156584812135,-6.863869390924629,148540288.80195212,30.302493977703133
2022-027/00:00.000000,-88399419.26121508,109711882.0033692,47117770.02956957,-24.51660398867123,-16.36472882492804,-7.031502295742955,148563921.0272827,30.303634191063605
2022-028/00:00.000000,-90503998.9633399,108280748.3800131,46503083.97388302,-24.19935065233575,-16.76248550343436,-7.196993680916024,148587452.75821224,30.30488756439619
2022-029/00:00.000000,-92580855.2348483,106815485.5784458,45874193.63888823,-23.87487372093906,-17.15474068071487,-7.36029766694156,148610916.01020873,30.3062486091457
2022-030/00:00.000000,-94629368.22278932,105316573.0814419,45231290.00867137,-23.54327291186894,-17.54139933060851,-7.521369670530955,148634341.56247833,30.307711751291905
2022-031/00:00.000000,-96648926.92487085,103784498.5258112,44574567.74325768,-23.2046519225302,-17.92236544611275,-7.680166157514638,148657758.96158734,30.309272611477066
2022-032/00:00.000000,-98638929.52815972,102219757.8950248,43904225.33849617,-22.85911474401706,-18.297540002965,-7.836643148439725,148681196.94551894,30.310923326026046
2022-033/00:00.000000,-100598782.4246069,100622855.9472551,43220465.1091654,-22.50676497197488,-18.66682722734028,-7.990756936317341,148704683.07537606,30.312655849568703
