Time                         x (km)            y (km)            z (km)    Dx (km/s)    Dy (km/s)    Dz (km/s)     Distance (km)  Vel. (km/s)
2020-034/00:00:00    -101801071.301      99195329.392      43357971.718      -22.580      -19.209       -8.256     148603785.963       30.773
2020-035/00:00:00    -103735797.363      97520388.436      42637734.249      -22.203      -19.560       -8.415     148624756.340       30.763
2020-036/00:00:00    -105638181.701      95814771.188      41903517.358      -21.831      -19.918       -8.579     148646562.617       30.772
2020-037/00:00:00    -107507480.323      94079186.641      41155614.326      -21.442      -20.260       -8.735     148669217.644       30.765
2020-038/00:00:00    -109343305.452      92313945.519      40394142.020      -21.050      -20.599       -8.890     148692668.595       30.765
2020-039/00:00:00    -111144772.526      90519962.139      39619488.036      -20.652      -20.931       -9.043     148716938.638       30.764
2020-040/00:00:00    -112911570.175      88697517.164      38831760.085      -20.244      -21.252       -9.191     148741984.059       30.756
2020-041/00:00:00    -114642911.560      86847469.205      38031326.341      -19.834      -21.573       -9.338     148767811.913       30.757
2020-042/00:00:00    -116338313.013      84970353.465      37218413.294      -19.412      -21.880       -9.480     148794402.888       30.748
2020-043/00:00:00    -117997337.015      83066691.865      36393246.884      -18.988      -22.183       -9.620     148821756.672       30.744
2020-044/00:00:00    -119619237.966      81137371.410      35556213.719      -18.557      -22.479       -9.757     148849855.441       30.739
2020-045/00:00:00    -121203751.985      79182775.939      34707484.436      -18.119      -22.764       -9.889     148878712.301       30.729
2020-046/00:00:00    -122750163.159      77203809.775      33847456.592      -17.676      -23.044      -10.019     148908297.677       30.722
2020-047/00:00:00    -124258149.703      75200980.802      32976358.531      -17.227      -23.314      -10.144     148938629.990       30.711
2020-048/00:00:00    -125727191.874      73175012.365      32094513.435      -16.776      -23.581      -10.268     148969684.848       30.707
2020-049/00:00:00    -127156778.335      71126699.223      31202276.121      -16.317      -23.835      -10.386     149001461.919       30.696
2020-050/00:00:00    -128546677.806      69056451.342      30299839.865      -15.855      -24.084      -10.502     149033963.051       30.687
2020-051/00:00:00    -129896214.588      66965346.905      29387683.862      -15.386      -24.323      -10.613     149067166.784       30.676
2020-052/00:00:00    -131205233.438      64853742.165      28465982.071      -14.912      -24.551      -10.720     149101084.133       30.660
2020-053/00:00:00    -132473210.124      62722554.273      27535148.430      -14.439      -24.780      -10.826     149135691.953       30.655
2020-054/00:00:00    -133699852.692      60572416.349      26595478.226      -13.956      -24.992      -10.925     149171001.520       30.638
2020-055/00:00:00    -134884829.557      58403997.571      25647282.359      -13.471      -25.198      -11.021     149206994.706       30.625
2020-056/00:00:00    -136027796.528      56218053.729      24690910.539      -12.985      -25.400      -11.116     149243666.722       30.616
2020-057/00:00:00    -137128397.675      54015438.523      23726756.204      -12.493      -25.588      -11.204     149281023.602       30.600
2020-058/00:00:00    -138186475.471      51796562.049      22755021.504      -11.998      -25.771      -11.289     149319043.818       30.587
2020-059/00:00:00    -139201640.673      49562428.152      21776166.150      -11.501      -25.945      -11.370     149357733.186       30.573
2020-060/00:00:00    -140173683.593      47313658.919      20790485.277      -11.000      -26.110      -11.447     149397082.202       30.558
2020-061/00:00:00    -141102380.482      45050940.762      19798301.999      -10.497      -26.265      -11.519     149437083.093       30.541
2020-062/00:00:00    -141987501.144      42775008.502      18799960.519       -9.991      -26.413      -11.588     149477725.260       30.525
2020-063/00:00:00    -142828835.950      40486601.459      17795807.227       -9.484      -26.557      -11.655     149519002.242       30.514
2020-064/00:00:00    -143626175.538      38186558.676      16786232.632       -8.974      -26.688      -11.716     149560921.264       30.496
2020-065/00:00:00    -144379404.589      35875313.704      15771448.085       -8.461      -26.809      -11.772     149603439.725       30.478
2020-066/00:00:00    -145088291.953      33553947.713      14751950.329       -7.948      -26.927      -11.827     149646583.347       30.466
2020-067/00:00:00    -145752748.377      31222907.271      13727955.632       -7.432      -27.029      -11.875     149690314.863       30.444
2020-068/00:00:00    -146372618.613      28883025.517      12699850.790       -6.916      -27.130      -11.921     149734628.102       30.430
2020-069/00:00:00    -146947773.165      26535126.447      11668017.285       -6.398      -27.221      -11.964     149779516.627       30.414
2020-070/00:00:00    -147478152.498      24179648.555      10632667.646       -5.879      -27.301      -12.001     149824946.153       30.397
2020-071/00:00:00    -147963608.282      21817675.289       9594296.041       -5.359      -27.375      -12.036     149870913.948       30.381
2020-072/00:00:00    -148404117.134      19449622.308       8553104.710       -4.837      -27.437      -12.064     149917395.223       30.360
2020-073/00:00:00    -148799585.378      17076392.207       7509508.140       -4.317      -27.496      -12.092     149964370.742       30.346
2020-074/00:00:00    -149149979.227      14698656.607       6463818.511       -3.794      -27.542      -12.113     150011825.398       30.326
2020-075/00:00:00    -149455281.513      12317009.020       5416316.418       -3.273      -27.586      -12.133     150059742.659       30.313
2020-076/00:00:00    -149715432.800       9932467.367       4367461.301       -2.750      -27.615      -12.147     150108092.535       30.294
2020-077/00:00:00    -149930489.257       7545281.928       3317385.848       -2.228      -27.640      -12.158     150156877.755       30.278
2020-078/00:00:00    -150100394.239       5156724.385       2266656.845       -1.706      -27.657      -12.166     150206051.444       30.262
2020-079/00:00:00    -150225223.100       2766943.653       1215362.201       -1.184      -27.657      -12.167     150255617.991       30.238
2020-080/00:00:00    -150304965.949        377139.644        164037.420       -0.662      -27.664      -12.170     150305528.613       30.229
2020-081/00:00:00    -150339701.075      -2012396.664       -887170.385       -0.142      -27.647      -12.163     150355786.489       30.205
2020-082/00:00:00    -150329466.647      -4400574.750      -1937772.836        0.378      -27.634      -12.157     150406344.827       30.192
2020-083/00:00:00    -150274344.133      -6787017.197      -2987587.395        0.897      -27.606      -12.144     150457195.858       30.172
2020-084/00:00:00    -150174405.781      -9170908.329      -4036244.496        1.415      -27.571      -12.128     150508302.033       30.154
2020-085/00:00:00    -150029755.404     -11551500.233      -5083403.455        1.933      -27.534      -12.111     150559641.521       30.142
2020-086/00:00:00    -149840508.499     -13928109.123      -6128751.657        2.448      -27.483      -12.088     150611194.165       30.123
2020-087/00:00:00    -149606768.187     -16300137.307      -7172014.917        2.962      -27.422      -12.060     150662926.301       30.103
2020-088/00:00:00    -149328658.933     -18666904.050      -8212883.426        3.475      -27.360      -12.032     150714807.300       30.090
2020-089/00:00:00    -149006388.327     -21027473.255      -9250935.631        3.986      -27.287      -11.999     150766833.898       30.074
2020-090/00:00:00    -148640008.993     -23381604.006     -10286055.161        4.494      -27.202      -11.960     150818946.456       30.053
2020-091/00:00:00    -148229791.776     -25728205.279     -11317753.372        5.002      -27.118      -11.922     150871147.865       30.043
2020-092/00:00:00    -147775881.487     -28066783.182     -12345803.705        5.506      -27.017      -11.876     150923405.529       30.021
2020-093/00:00:00    -147278400.679     -30396833.504     -13369976.438        6.009      -26.915      -11.830     150975663.812       30.008
2020-094/00:00:00    -146737708.690     -32717299.192     -14389797.554        6.509      -26.802      -11.779     151027954.670       29.991
2020-095/00:00:00    -146153832.909     -35027987.492     -15405175.364        7.006      -26.682      -11.724     151080184.703       29.974
2020-096/00:00:00    -145527194.664     -37327779.932     -16415609.433        7.501      -26.557      -11.667     151132391.546       29.961
2020-097/00:00:00    -144857828.792     -39616500.127     -17421015.324        7.993      -26.421      -11.605     151184488.025       29.944
2020-098/00:00:00    -144146202.612     -41893000.830     -18420881.757        8.481      -26.278      -11.541     151236503.963       29.928
2020-099/00:00:00    -143392351.458     -44157158.916     -19415145.781        8.967      -26.129      -11.473     151288363.816       29.912
2020-100/00:00:00    -142596759.595     -46407832.505     -20403301.690        9.451      -25.974      -11.403     151340072.303       29.900
2020-101/00:00:00    -141759504.758     -48644892.423     -21385281.670        9.928      -25.805      -11.326     151391588.340       29.879
2020-102/00:00:00    -140881065.722     -50867237.347     -22360601.278       10.407      -25.640      -11.251     151442883.636       29.871
2020-103/00:00:00    -139961596.918     -53074643.429     -23329151.159       10.876      -25.455      -11.168     151493946.020       29.849
2020-104/00:00:00    -139001517.894     -55266203.692     -24290532.159       11.347      -25.274      -11.086     151544730.030       29.840
2020-105/00:00:00    -138001061.086     -57441573.842     -25244583.814       11.810      -25.079      -10.997     151595238.310       29.822
2020-106/00:00:00    -136960663.568     -59599870.055     -26190917.875       12.272      -24.880      -10.908     151645415.541       29.809
2020-107/00:00:00    -135880585.777     -61740730.238     -27129366.830       12.727      -24.672      -10.813     151695266.590       29.793
2020-108/00:00:00    -134761197.801     -63863479.891     -28059631.979       13.183      -24.464      -10.720     151744744.368       29.786
2020-109/00:00:00    -133602906.973     -65967498.484     -28981436.087       13.628      -24.238      -10.618     151793844.558       29.765
2020-110/00:00:00    -132406004.519     -68052315.104     -29894568.121       14.076      -24.018      -10.518     151842526.412       29.759
2020-111/00:00:00    -131171014.209     -70117151.484     -30798683.375       14.514      -23.783      -10.412     151890779.175       29.744
2020-112/00:00:00    -129898112.156     -72161771.693     -31693672.946       14.949      -23.543      -10.304     151938572.260       29.730
2020-113/00:00:00    -128587924.449     -74185275.723     -32579140.101       15.381      -23.299      -10.194     151985886.904       29.721
2020-114/00:00:00    -127240741.894     -76187297.282     -33454919.894       15.805      -23.045      -10.079     152032701.515       29.706
2020-115/00:00:00    -125856925.134     -78167355.728     -34320798.833       16.226      -22.787       -9.963     152078987.168       29.694
2020-116/00:00:00    -124437113.891     -80124650.942     -35176423.291       16.643      -22.524       -9.845     152124737.494       29.685
2020-117/00:00:00    -122981500.775     -82058958.481     -36021692.502       17.049      -22.249       -9.721     152169919.927       29.668
2020-118/00:00:00    -121490667.383     -83969581.081     -36856298.742       17.457      -21.975       -9.597     152214518.246       29.661
2020-119/00:00:00    -119965059.891     -85856018.395     -37680020.720       17.859      -21.693       -9.471     152258515.200       29.652
2020-120/00:00:00    -118405157.424     -87717759.565     -38492632.880       18.250      -21.402       -9.340     152301902.265       29.637
2020-121/00:00:00    -116811233.123     -89554469.214     -39293988.043       18.642      -21.111       -9.209     152344624.573       29.631
2020-122/00:00:00    -115184294.327     -91365203.138     -40083668.703       19.024      -20.809       -9.073     152386753.036       29.619
2020-123/00:00:00    -113524050.215     -93150118.872     -40861745.989       19.404      -20.505       -8.937     152428136.865       29.611
2020-124/00:00:00    -111831387.045     -94908441.113     -41627879.525       19.777      -20.195       -8.797     152468854.776       29.604
2020-125/00:00:00    -110107348.115     -96639255.710     -42381667.082       20.136      -19.873       -8.653     152508949.107       29.585
2020-126/00:00:00    -108351538.528     -98342799.210     -43123210.552       20.503      -19.557       -8.511     152548265.629       29.586
2020-127/00:00:00    -106564859.920    -100018326.274     -43852186.704       20.852      -19.226       -8.362     152586858.016       29.570
2020-128/00:00:00    -104747934.254    -101665314.963     -44568363.840       21.202      -18.895       -8.214     152624719.663       29.564
2020-129/00:00:00    -102901101.987    -103283468.577     -45271613.369       21.543      -18.557       -8.063     152661817.913       29.555
2020-130/00:00:00    -101025054.308    -104872243.144     -45961698.168       21.883      -18.219       -7.911     152698155.452       29.553
2020-131/00:00:00     -99120292.748    -106431245.970     -46638447.803       22.207      -17.868       -7.754     152733713.916       29.539
2020-132/00:00:00     -97187265.426    -107960149.298     -47301718.974       22.536      -17.521       -7.599     152768488.293       29.540
2020-133/00:00:00     -95226707.052    -109458410.536     -47951278.073       22.847      -17.160       -7.437     152802468.703       29.526
2020-134/00:00:00     -93239004.663    -110925762.312     -48587009.003       23.161      -16.803       -7.277     152835644.334       29.525
2020-135/00:00:00     -91224933.659    -112361673.961     -49208682.769       23.461      -16.436       -7.113     152868010.900       29.515
2020-136/00:00:00     -89184809.131    -113765943.640     -49816212.322       23.761      -16.068       -6.949     152899558.933       29.513
2020-137/00:00:00     -87119498.675    -115138012.248     -50409356.560       24.046      -15.692       -6.781     152930285.237       29.503
2020-138/00:00:00     -85029297.487    -116477699.657     -50988038.805       24.336      -15.318       -6.614     152960177.986       29.506
2020-139/00:00:00     -82915156.574    -117784435.717     -51552012.917       24.603      -14.931       -6.441     152989236.623       29.491
2020-140/00:00:00     -80777310.763    -119058090.659     -52101225.164       24.880      -14.550       -6.271     153017451.779       29.496
2020-141/00:00:00     -78616540.229    -120298229.745     -52635488.697       25.139      -14.158       -6.096     153044827.249       29.489
2020-142/00:00:00     -76433439.079    -121504523.716     -53154663.667       25.394      -13.764       -5.921     153071349.907       29.485
2020-143/00:00:00     -74228635.612    -122676647.631     -53658611.936       25.644      -13.368       -5.745     153097017.782       29.484
2020-144/00:00:00     -72002801.463    -123814278.371     -54147196.024       25.878      -12.965       -5.565     153121839.671       29.474
2020-145/00:00:00     -69756399.529    -124917172.647     -54620315.407       26.117      -12.563       -5.386     153145793.780       29.478
2020-146/00:00:00     -67490291.686    -125984963.101     -55077812.788       26.337      -12.153       -5.204     153168912.842       29.469
2020-147/00:00:00     -65204897.196    -127017426.606     -55519597.504       26.561      -11.745       -5.022     153191158.318       29.473
2020-148/00:00:00     -62900897.927    -128014300.578     -55945559.981       26.767      -11.329       -4.837     153212564.087       29.465
2020-149/00:00:00     -60579067.331    -128975245.611     -56355556.699       26.979      -10.915       -4.653     153233110.488       29.473
2020-150/00:00:00     -58239986.422    -129900057.477     -56749505.365       27.165      -10.492       -4.466     153252821.541       29.461
2020-151/00:00:00     -55884147.589    -130788508.818     -57127312.607       27.364      -10.072       -4.279     153271660.252       29.471
2020-152/00:00:00     -53512494.584    -131640307.863     -57488857.322       27.536       -9.645       -4.090     153289681.476       29.462
