Time                         x (km)            y (km)            z (km)    Dx (km/s)    Dy (km/s)    Dz (km/s)     Distance (km)  Vel. (km/s)
2019-209/00:00:00      86108285.133    -116325548.796     -50164468.207       24.503       15.486        6.846     153175533.104       29.784
2019-210/00:00:00      88213216.155    -114970842.788     -49565892.782       24.219       15.871        7.009     153155619.953       29.792
2019-211/00:00:00      90293296.569    -113582984.824     -48953343.550       23.932       16.255        7.171     153135246.405       29.805
2019-212/00:00:00      92348156.353    -112162199.294     -48326942.129       23.631       16.631        7.329     153114448.266       29.812
2019-213/00:00:00      94377016.682    -110708924.028     -47686899.514       23.330       17.007        7.486     153093198.812       29.826
2019-214/00:00:00      96379262.615    -109223560.838     -47033411.794       23.019       17.377        7.641     153071520.308       29.837
2019-215/00:00:00      98354440.540    -107706363.205     -46366611.966       22.700       17.742        7.793     153049401.677       29.846
2019-216/00:00:00     100301692.142    -106157929.234     -45686777.855       22.376       18.102        7.944     153026850.770       29.857
2019-217/00:00:00     102220553.355    -104578570.050     -44994066.508       22.041       18.456        8.091     153003872.052       29.865
2019-218/00:00:00     104110479.695    -102968640.969     -44288650.412       21.705       18.809        8.237     152980448.295       29.879
2019-219/00:00:00     105970672.294    -101328791.896     -43570831.188       21.356       19.152        8.379     152956610.789       29.884
2019-220/00:00:00     107800808.500     -99659201.636     -42840702.967       21.005       19.493        8.521     152932326.912       29.896
2019-221/00:00:00     109600026.118     -97960621.854     -42098610.682       20.645       19.828        8.658     152907626.300       29.906
2019-222/00:00:00     111367998.791     -96233271.889     -41344663.967       20.277       20.154        8.793     152882487.590       29.910
2019-223/00:00:00     113104011.655     -94477789.892     -40579156.246       19.907       20.481        8.927     152856920.540       29.924
2019-224/00:00:00     114807498.860     -92694686.582     -39802323.827       19.526       20.796        9.056     152830925.199       29.929
2019-225/00:00:00     116478075.367     -90884292.271     -39014321.491       19.141       21.108        9.183     152804495.693       29.938
2019-226/00:00:00     118114976.333     -89047373.007     -38215495.936       18.751       21.415        9.309     152777637.117       29.948
2019-227/00:00:00     119717827.100     -87184296.727     -37406014.593       18.350       21.710        9.429     152750350.733       29.949
2019-228/00:00:00     121286114.143     -85295599.388     -36586117.843       17.950       22.007        9.549     152722640.030       29.962
2019-229/00:00:00     122819203.508     -83381987.446     -35756117.115       17.540       22.292        9.665     152694507.078       29.967
2019-230/00:00:00     124316813.725     -81443787.416     -34916154.749       17.123       22.570        9.777     152665970.490       29.970
2019-231/00:00:00     125778218.485     -79481858.824     -34066604.160       16.706       22.846        9.889     152637019.252       29.981
2019-232/00:00:00     127203183.376     -77496526.735     -33207602.041       16.277       23.108        9.995     152607687.717       29.981
2019-233/00:00:00     128591080.651     -75488585.186     -32339489.066       15.849       23.370       10.100     152577963.905       29.989
2019-234/00:00:00     129941505.827     -73458605.918     -31462506.000       15.412       23.621       10.201     152547864.632       29.993
2019-235/00:00:00     131254167.838     -71407028.125     -30576836.429       14.971       23.866       10.299     152517419.223       29.997
2019-236/00:00:00     132528412.944     -69334778.775     -29682871.311       14.526       24.104       10.395     152486604.771       30.002
2019-237/00:00:00     133764080.319     -67242179.478     -28780741.144       14.075       24.333       10.486     152455472.009       30.002
2019-238/00:00:00     134960589.185     -65130114.161     -27870815.375       13.622       24.557       10.576     152423996.646       30.008
2019-239/00:00:00     136117651.199     -62999129.758     -26953317.623       13.161       24.770       10.661     152392213.217       30.007
2019-240/00:00:00     137234955.188     -60849782.771     -26028475.429       12.701       24.981       10.746     152360134.293       30.014
2019-241/00:00:00     138312012.686     -58682965.392     -25096656.297       12.233       25.179       10.825     152327756.623       30.014
2019-242/00:00:00     139348672.372     -56499045.087     -24158004.906       11.762       25.371       10.901     152295120.698       30.014
2019-243/00:00:00     140344452.057     -54298959.033     -23212905.380       11.289       25.557       10.976     152262211.830       30.018
2019-244/00:00:00     141299136.044     -52083259.720     -22261579.026       10.810       25.731       11.045     152229069.794       30.016
2019-245/00:00:00     142212469.426     -49852490.509     -21304239.143       10.331       25.904       11.114     152195689.412       30.021
2019-246/00:00:00     143084062.543     -47607655.105     -20341299.268        9.846       26.062       11.177     152162105.119       30.018
2019-247/00:00:00     143913800.437     -45349031.175     -19372855.930        9.359       26.216       11.238     152128314.694       30.019
2019-248/00:00:00     144701298.233     -43077706.673     -18399358.668        8.871       26.364       11.297     152094348.751       30.023
2019-249/00:00:00     145446438.903     -40794031.504     -17420933.953        8.377       26.495       11.350     152060213.520       30.016
2019-250/00:00:00     146148937.475     -38498890.275     -16437942.120        7.884       26.630       11.404     152025926.797       30.023
2019-251/00:00:00     146808590.907     -36193000.781     -15450670.655        7.387       26.750       11.451     151991509.280       30.021
2019-252/00:00:00     147425276.439     -33876777.227     -14459272.901        6.887       26.862       11.496     151956963.451       30.019
2019-253/00:00:00     147998707.766     -31551345.940     -13464216.535        6.387       26.970       11.539     151922315.866       30.022
2019-254/00:00:00     148528827.508     -29216965.638     -12465586.923        5.883       27.064       11.576     151887572.037       30.018
2019-255/00:00:00     149015393.091     -26874695.853     -11463822.705        5.380       27.156       11.613     151852744.086       30.020
2019-256/00:00:00     149458325.822     -24524984.408     -10459093.329        4.873       27.233       11.643     151817846.945       30.016
2019-257/00:00:00     149857465.216     -22168648.353      -9451731.561        4.366       27.308       11.673     151782884.675       30.017
2019-258/00:00:00     150212689.568     -19806432.401      -8442037.515        3.857       27.373       11.699     151747866.111       30.017
2019-259/00:00:00     150523936.475     -17438822.074      -7430199.653        3.347       27.431       11.722     151712807.087       30.018
2019-260/00:00:00     150791063.465     -15066774.905      -6416611.309        2.836       27.479       11.741     151677702.474       30.016
2019-261/00:00:00     151014022.615     -12690836.225      -5401487.023        2.325       27.519       11.757     151642567.943       30.015
2019-262/00:00:00     151192757.212     -10311652.225      -4385085.887        1.813       27.553       11.770     151607417.309       30.016
2019-263/00:00:00     151327167.528      -7930195.896      -3367807.275        1.299       27.576       11.779     151572232.829       30.015
2019-264/00:00:00     151417282.182      -5546778.421      -2349767.241        0.786       27.592       11.785     151537063.124       30.014
2019-265/00:00:00     151463004.187      -3162501.486      -1331421.188        0.273       27.601       11.789     151501867.102       30.015
2019-266/00:00:00     151464380.629       -777701.352       -312897.485       -0.241       27.597       11.786     151466700.378       30.010
2019-267/00:00:00     151421360.887       1606661.522        705408.035       -0.754       27.596       11.786     151431527.413       30.017
2019-268/00:00:00     151333974.844       3989942.111       1723233.884       -1.268       27.572       11.775     151396370.879       30.008
2019-269/00:00:00     151202245.853       6371663.987       2740389.678       -1.781       27.555       11.768     151361246.653       30.016
2019-270/00:00:00     151026189.901       8750722.408       3756416.957       -2.294       27.522       11.754     151326124.139       30.014
2019-271/00:00:00     150805856.446      11126956.167       4771259.763       -2.806       27.477       11.735     151291045.378       30.010
2019-272/00:00:00     150541328.472      13498770.410       5784246.259       -3.318       27.432       11.716     151255961.487       30.013
2019-273/00:00:00     150232587.180      15866651.151       6795602.416       -3.829       27.382       11.696     151220901.604       30.020
2019-274/00:00:00     149879786.624      18229450.862       7804844.637       -4.337       27.309       11.665     151185908.461       30.011
2019-275/00:00:00     149483122.569      20585583.263       8811298.886       -4.845       27.233       11.634     151150948.259       30.008
2019-276/00:00:00     149042480.218      22935586.550       9815220.050       -5.354       27.160       11.603     151115983.882       30.016
2019-277/00:00:00     148558101.209      25278267.346      10816100.939       -5.859       27.067       11.565     151081065.241       30.011
2019-278/00:00:00     148030060.651      27613050.434      11813708.163       -6.364       26.976       11.527     151046162.187       30.017
2019-279/00:00:00     147458583.906      29938977.525      12807637.506       -6.865       26.866       11.481     151011297.330       30.012
2019-280/00:00:00     146843704.254      32255808.312      13797801.364       -7.367       26.758       11.437     150976455.023       30.018
2019-281/00:00:00     146185723.201      34562370.829      14783701.126       -7.866       26.639       11.387     150941647.546       30.019
2019-282/00:00:00     145484691.782      36858434.650      15765252.595       -8.361       26.506       11.332     150906868.423       30.015
2019-283/00:00:00     144740903.053      39142963.039      16742016.253       -8.857       26.376       11.278     150872116.975       30.022
2019-284/00:00:00     143954471.754      41415578.647      17713842.271       -9.347       26.229       11.217     150837396.890       30.019
2019-285/00:00:00     143125659.339      43675441.454      18680377.137       -9.837       26.079       11.155     150802702.355       30.022
2019-286/00:00:00     142254687.171      45921900.457      19641350.354      -10.325       25.923       11.090     150768032.445       30.027
2019-287/00:00:00     141341802.725      48154266.239      20596474.601      -10.807       25.752       11.019     150733384.890       30.023
2019-288/00:00:00     140387193.305      50372039.824      21545544.010      -11.289       25.582       10.948     150698762.128       30.029
2019-289/00:00:00     139391197.500      52574353.231      22488193.592      -11.767       25.400       10.873     150664154.360       30.031
2019-290/00:00:00     138354031.494      54760702.588      23424214.508      -12.240       25.207       10.793     150629566.832       30.028
2019-291/00:00:00     137275967.388      56930469.284      24353347.828      -12.713       25.015       10.713     150595003.588       30.035
2019-292/00:00:00     136157402.571      59082745.852      25275211.316      -13.181       24.811       10.628     150560437.829       30.038
2019-293/00:00:00     134998486.001      61217309.457      26189714.205      -13.644       24.597       10.539     150525915.808       30.037
2019-294/00:00:00     133799722.558      63333047.762      27096386.565      -14.106       24.382       10.450     150491378.026       30.044
2019-295/00:00:00     132561248.933      65429826.794      27995174.433      -14.561       24.153       10.355     150456893.310       30.043
2019-296/00:00:00     131283588.055      67506569.469      28885623.019      -15.015       23.922       10.258     150422394.048       30.049
2019-297/00:00:00     129966954.354      69563005.755      29767619.748      -15.461       23.677       10.157     150387938.942       30.047
2019-298/00:00:00     128611805.878      71598276.872      30640802.705      -15.907       23.434       10.055     150353479.018       30.055
2019-299/00:00:00     127218466.153      73611934.792      31504982.819      -16.344       23.174        9.947     150319057.397       30.052
2019-300/00:00:00     125787284.987      75603365.496      32359903.301      -16.784       22.921        9.842     150284640.866       30.065
2019-301/00:00:00     124318915.371      77571644.196      33205167.288      -17.206       22.641        9.725     150250244.049       30.054
2019-302/00:00:00     122813313.591      79516771.801      34040785.941      -17.642       22.380        9.616     150215851.694       30.076
2019-303/00:00:00     121271129.883      81437914.705      34866401.000      -18.058       22.092        9.496     150181512.888       30.072
2019-304/00:00:00     119693203.498      83333942.829      35681525.113      -18.471       21.801        9.374     150147195.196       30.072
2019-305/00:00:00     118079211.805      85205200.260      36486321.002      -18.886       21.512        9.254     150112884.298       30.084
2019-306/00:00:00     116430226.216      87050431.500      37280242.633      -19.289       21.207        9.126     150078618.370       30.085
2019-307/00:00:00     114746240.877      88869567.036      38063269.344      -19.689       20.899        8.998     150044367.484       30.090
2019-308/00:00:00     113028208.701      90661571.166      38834952.097      -20.084       20.585        8.867     150010166.165       30.095
2019-309/00:00:00     111276151.132      92426361.491      39595263.031      -20.470       20.263        8.732     149975994.625       30.098
2019-310/00:00:00     109490994.171      94162980.722      40343787.754      -20.854       19.938        8.596     149941875.249       30.105
