    i       P                   T                   
    0       1.0000000E-01       1.3000000e+03       
    1       1.0424036E-01       1.3000000e+03       
    2       1.0866052E-01       1.3000000e+03       
    3       1.1326812E-01       1.3000000e+03       
    4       1.1807108E-01       1.3000000e+03       
    5       1.2307772E-01       1.3000000e+03       
    6       1.2829665E-01       1.3000000e+03       
    7       1.3373689E-01       1.3000000e+03       
    8       1.3940781E-01       1.3000000e+03       
    9       1.4531920E-01       1.3000000e+03       
   10       1.5148125E-01       1.3000000e+03       
   11       1.5790459E-01       1.3000000e+03       
   12       1.6460032E-01       1.3000000e+03       
   13       1.7157996E-01       1.3000000e+03       
   14       1.7885556E-01       1.3000000e+03       
   15       1.8643967E-01       1.3000000e+03       
   16       1.9434517E-01       1.3000000e+03       
   17       2.0258610E-01       1.3000000e+03       
   18       2.1117646E-01       1.3000000e+03       
   19       2.2013110E-01       1.3000000e+03       
   20       2.2946545E-01       1.3000000e+03       
   21       2.3919561E-01       1.3000000e+03       
   22       2.4933834E-01       1.3000000e+03       
   23       2.5991119E-01       1.3000000e+03       
   24       2.7093233E-01       1.3000000e+03       
   25       2.8242084E-01       1.3000000e+03       
   26       2.9439650E-01       1.3000000e+03       
   27       3.0687995E-01       1.3000000e+03       
   28       3.1989275E-01       1.3000000e+03       
   29       3.3345734E-01       1.3000000e+03       
   30       3.4759712E-01       1.3000000e+03       
   31       3.6233648E-01       1.3000000e+03       
   32       3.7770085E-01       1.3000000e+03       
   33       3.9371671E-01       1.3000000e+03       
   34       4.1041171E-01       1.3000000e+03       
   35       4.2781462E-01       1.3000000e+03       
   36       4.4595549E-01       1.3000000e+03       
   37       4.6486562E-01       1.3000000e+03       
   38       4.8457755E-01       1.3000000e+03       
   39       5.0512535E-01       1.3000000e+03       
   40       5.2654450E-01       1.3000000e+03       
   41       5.4887123E-01       1.3000000e+03       
   42       5.7214534E-01       1.3000000e+03       
   43       5.9640633E-01       1.3000000e+03       
   44       6.2169611E-01       1.3000000e+03       
   45       6.4805822E-01       1.3000000e+03       
   46       6.7553824E-01       1.3000000e+03       
   47       7.0418346E-01       1.3000000e+03       
   48       7.3404335E-01       1.3000000e+03       
   49       7.6516935E-01       1.3000000e+03       
   50       7.9761530E-01       1.3000000e+03       
   51       8.3143705E-01       1.3000000e+03       
   52       8.6669297E-01       1.3000000e+03       
   53       9.0344383E-01       1.3000000e+03       
   54       9.4175302E-01       1.3000000e+03       
   55       9.8168675E-01       1.3000000e+03       
   56       1.0233138E+00       1.3000000e+03       
   57       1.0667059E+00       1.3000000e+03       
   58       1.1119380E+00       1.3000000e+03       
   59       1.1590882E+00       1.3000000e+03       
   60       1.2082377E+00       1.3000000e+03       
   61       1.2594713E+00       1.3000000e+03       
   62       1.3128773E+00       1.3000000e+03       
   63       1.3685480E+00       1.3000000e+03       
   64       1.4265793E+00       1.3000000e+03       
   65       1.4870714E+00       1.3000000e+03       
   66       1.5501286E+00       1.3000000e+03       
   67       1.6158594E+00       1.3000000e+03       
   68       1.6843776E+00       1.3000000e+03       
   69       1.7558013E+00       1.3000000e+03       
   70       1.8302535E+00       1.3000000e+03       
   71       1.9078629E+00       1.3000000e+03       
   72       1.9887630E+00       1.3000000e+03       
   73       2.0730937E+00       1.3000000e+03       
   74       2.1610002E+00       1.3000000e+03       
   75       2.2526319E+00       1.3000000e+03       
   76       2.3481514E+00       1.3000000e+03       
   77       2.4477215E+00       1.3000000e+03       
   78       2.5515135E+00       1.3000000e+03       
   79       2.6597068E+00       1.3000000e+03       
   80       2.7724880E+00       1.3000000e+03       
   81       2.8900513E+00       1.3000000e+03       
   82       3.0125997E+00       1.3000000e+03       
   83       3.1403448E+00       1.3000000e+03       
   84       3.2735064E+00       1.3000000e+03       
   85       3.4123150E+00       1.3000000e+03       
   86       3.5570094E+00       1.3000000e+03       
   87       3.7078393E+00       1.3000000e+03       
   88       3.8650647E+00       1.3000000e+03       
   89       4.0289571E+00       1.3000000e+03       
   90       4.1997995E+00       1.3000000e+03       
   91       4.3778859E+00       1.3000000e+03       
   92       4.5635239E+00       1.3000000e+03       
   93       4.7570335E+00       1.3000000e+03       
   94       4.9587488E+00       1.3000000e+03       
   95       5.1690175E+00       1.3000000e+03       
   96       5.3881962E+00       1.3000000e+03       
   97       5.6166751E+00       1.3000000e+03       
   98       5.8548419E+00       1.3000000e+03       
   99       6.1031082E+00       1.3000000e+03       
  100       6.3619016E+00       1.3000000e+03       
  101       6.6316694E+00       1.3000000e+03       
  102       6.9128757E+00       1.3000000e+03       
  103       7.2060058E+00       1.3000000e+03       
  104       7.5115662E+00       1.3000000e+03       
  105       7.8300836E+00       1.3000000e+03       
  106       8.1621074E+00       1.3000000e+03       
  107       8.5082094E+00       1.3000000e+03       
  108       8.8689878E+00       1.3000000e+03       
  109       9.2450646E+00       1.3000000e+03       
  110       9.6370888E+00       1.3000000e+03       
  111       1.0045736E+01       1.3000000e+03       
  112       1.0471710E+01       1.3000000e+03       
  113       1.0915748E+01       1.3000000e+03       
  114       1.1378615E+01       1.3000000e+03       
  115       1.1861109E+01       1.3000000e+03       
  116       1.2364062E+01       1.3000000e+03       
  117       1.2888342E+01       1.3000000e+03       
  118       1.3434853E+01       1.3000000e+03       
  119       1.4004541E+01       1.3000000e+03       
  120       1.4598382E+01       1.3000000e+03       
  121       1.5217398E+01       1.3000000e+03       
  122       1.5862669E+01       1.3000000e+03       
  123       1.6535303E+01       1.3000000e+03       
  124       1.7236458E+01       1.3000000e+03       
  125       1.7967346E+01       1.3000000e+03       
  126       1.8729226E+01       1.3000000e+03       
  127       1.9523411E+01       1.3000000e+03       
  128       2.0351274E+01       1.3000000e+03       
  129       2.1214240E+01       1.3000000e+03       
  130       2.2113801E+01       1.3000000e+03       
  131       2.3051504E+01       1.3000000e+03       
  132       2.4028971E+01       1.3000000e+03       
  133       2.5047883E+01       1.3000000e+03       
  134       2.6110004E+01       1.3000000e+03       
  135       2.7217160E+01       1.3000000e+03       
  136       2.8371249E+01       1.3000000e+03       
  137       2.9574294E+01       1.3000000e+03       
  138       3.0828349E+01       1.3000000e+03       
  139       3.2135579E+01       1.3000000e+03       
  140       3.3498244E+01       1.3000000e+03       
  141       3.4918688E+01       1.3000000e+03       
  142       3.6399366E+01       1.3000000e+03       
  143       3.7942827E+01       1.3000000e+03       
  144       3.9551739E+01       1.3000000e+03       
  145       4.1228873E+01       1.3000000e+03       
  146       4.2977126E+01       1.3000000e+03       
  147       4.4799509E+01       1.3000000e+03       
  148       4.6699168E+01       1.3000000e+03       
  149       4.8679378E+01       1.3000000e+03       
  150       5.0743530E+01       1.3000000e+03       
  151       5.2895240E+01       1.3000000e+03       
  152       5.5138185E+01       1.3000000e+03       
  153       5.7476241E+01       1.3000000e+03       
  154       5.9913436E+01       1.3000000e+03       
  155       6.2453980E+01       1.3000000e+03       
  156       6.5102254E+01       1.3000000e+03       
  157       6.7862822E+01       1.3000000e+03       
  158       7.0740446E+01       1.3000000e+03       
  159       7.3740090E+01       1.3000000e+03       
  160       7.6866936E+01       1.3000000e+03       
  161       8.0126367E+01       1.3000000e+03       
  162       8.3524012E+01       1.3000000e+03       
  163       8.7065727E+01       1.3000000e+03       
  164       9.0757577E+01       1.3000000e+03       
  165       9.4606017E+01       1.3000000e+03       
  166       9.8617654E+01       1.3000000e+03       
  167       1.0279940E+02       1.3000000e+03       
  168       1.0715845E+02       1.3000000e+03       
  169       1.1170235E+02       1.3000000e+03       
  170       1.1643893E+02       1.3000000e+03       
  171       1.2137636E+02       1.3000000e+03       
  172       1.2652315E+02       1.3000000e+03       
