 0.3625, 0.0375, 0.14668, 0.00095
 0.4200, 0.0200, 0.14645, 0.00047
 0.4575, 0.0175, 0.14592, 0.00038
 0.4875, 0.0125, 0.14538, 0.00045
 0.5125, 0.0125, 0.14564, 0.00049
 0.5350, 0.0100, 0.14568, 0.00047
 0.5575, 0.0125, 0.14489, 0.00046
 0.5684, 0.0184, 0.14500, 0.00057
 0.5893, 0.0025, 0.14656, 0.00132
 0.6059, 0.0141, 0.14486, 0.00053
 0.6400, 0.0200, 0.14517, 0.00056
 0.6800, 0.0200, 0.14501, 0.00049
 0.7299, 0.0300, 0.14504, 0.00043
 0.7684, 0.0085, 0.14718, 0.00079
 0.8085, 0.0316, 0.14489, 0.00059
 0.8800, 0.0400, 0.14494, 0.00052
 0.9750, 0.0550, 0.14441, 0.00088
 3.5051, 0.3546, 0.14006, 0.00140
 4.3882, 0.4502, 0.14002, 0.00150
